夹,ngeh
旭,hiok
洗,sue
鞍,uann
腐,hu
腿,thui
涤,tiah
跪,kui
檀,tuann
晓,hiau
应,in
化,hua
让,niu
刚,kong
臻,tsin
迈,mai
迹,liah
噪,tsho
瞬,sut
米,bi
掐,tenn
做,tso
撞,kho
蜂,hong
俍,lang
举,giah
赵,tio
鳃,tshi
谣,iau
廊,long
剐,lio
力,li
慷,khong
吭,khong
墓,boo
吩,hun
度,tok
扣,khian
失,sit
鳓,lik
舰,koo
客,kheh
惟,i
掘,iah
扯,giu
羡,sian
颇,tsiok
贮,te
滇,tian
逛,un
碰,tu
铰,ka
员,inn
与,i
轰,hong
穿,tshng
贩,huan
费,hui
革,kik
皓,ho
胖,pui
洒,sa
碾,kauh
吮,tshng
蹲,ku
羞,siu
逐,jiok
逐,tak
贸,bauh
竹,tiok
鳢,le
尧,giau
瘦,hiunn
亮,kong
酥,soo
跷,khiau
灶,tsau
沟,koo
掴,sian
蚼,ku
钳,khiam
僚,liau
桠,ue
撒,suan
冷,ling
拨,pue
色,sik
帖,thiap
细,se
细,sue
狼,long
单,tuann
疫,iah
诏,tsiau
块,bin
翰,han
她,i
绣,siu
筋,kin
柑,kam
顶,ting
份,hun
幢,tong
闪,sih
窄,ueh
凹,thap
县,kuan
羊,iong
屑,sap
医,i
炸,tsiah
荣,ing
赤,tshik
螺,loo
堕,tui
包,lui
枕,tsim
吸,khip
杠,kong
喝,lim
擡,tam
十,tsap
十,sip
湿,sip
齐,tsue
坝,pa
您,lan
捉,sa
饰,sik
美,bi
粜,thio
渝,lu
井,tsing
价,ke
框,khong
笋,sun
怦,phenn
烤,hang
还,huan
还,hing
留,lau
留,liu
郝,hok
坪,phing
壮,tsong
碰,khua
詈,kiau
鳅,tshiu
镫,ting
潺,tshan
颠,tian
垃,lah
熊,him
店,tiam
悬,tham
祧,thiau
青,tshing
汰,thai
飨,hiang
刷,tshing
䢢,tshiang
醋,tshoo
碱,kiam
按,tshih
壁,piah
辟,phiah
寂,tsiauh
数,siau
慌,hong
祖,tsoo
鮘,tai
旬,sun
病,penn
影,ing
晶,tsinn
想,siong
想,siunn
糠,khng
旁,pong
耽,tam
役,ik
蔗,tsia
,so
忍,lim
姓,senn
席,tshioh
银,gun
银,gin
丙,ping
寥,liau
鹭,loo
段,kueh
喝,tsiah
破,pho
喇,la
夷,i
碾,ue
莓,m
茱,tsu
录,liok
创,tshong
蟹,he
倚,i
弊,piah
轩,ian
虚,ke
痂,phi
蕃,huan
辆,tsiah
走,tsau
瑜,lu
媳,sik
灾,tsai
阶,gam
鰇,jiu
谭,tam
摵,ui
裱,piau
渗,lau
鱼,hi
逃,to
琶,pa
俺,gun
偌,jua
征,tsing
浅,khin
斗,tau
芹,khin
巾,kun
耕,king
鯮,tsang
捻,pha
焰,iam
芭,pa
类,lui
莉,ni
您,lin
绿,tshenn
烈,me
赔,pue
毙,pe
蛟,kau
样,pan
拦,nua
咫,tsi
秪,te
汗,han
篱,li
追,tui
轻,khing
官,kuan
式,sik
行,hang
舵,to
渴,khat
薰,hun
库,khoo
栈,tsan
赌,too
煮,tsu
钻,nng
朗,long
进,tsin
豉,si
扯,khiu
𨀁,ling
穗,sui
佇,ti
演,ian
岳,gak
篷,phong
羔,ko
夺,tuat
昼,tau
褴,lam
艾,ngai
拭,jiu
肩,kian
呈,thing
甫,hu
诣,ge
轻,khin
排,pai
谈,tam
杖,tiong
橘,kam
满,mua
满,buan
冒,moo
走,+
姒,sai
𦉎,sui
亦,ma
揽,lam
剪,ka
啮,khue
酱,tsiunn
肤,hu
聪,tshong
疗,liau
汝,li
汝,ju
汇,hue
涯,gai
蛹,iong
坷,khiat
罩,tau
誉,u
睁,nia
茄,ka
吱,ki
植,sit
荫,ng
盏,tsuann
考,kho
愧,khui
说,suat
重,tang
重,ting
滩,phiann
阏,at
害,hai
腕,uann
祷,to
贰,ji
胀,tiunn
矛,moo
鳞,lin
略,lioh
暇,ha
钓,tiau
谕,lu
桅,ui
堆,tui
杰,kiat
戳,tshok
鹏,ping
详,siong
奖,tsiang
泳,ing
陷,ham
劝,khng
帆,huan
弥,mi
释,sik
牙,ga
韧,lun
教,ka
教,kau
笔,pit
醒,tshinn
完,ho
夫,hu
嗯,m
奎,khe
涨,tiong
嗅,phinn
馋,sai
炎,iam
巳,su
囮,bue
恿,sing
壬,lim
闷,ut
六,lak
六,liok
坏,phai
偎,ua
糊,khoo
肛,kong
傻,penn
纬,ui
割,kuah
轩,hian
娼,ba
叉,tshe
袖,siu
课,khue
乩,ki
节,tsat
麟,lin
冰,ling
搋,thi
鬼,kui
康,khong
逊,sun
哪,na
禅,sian
锉,le
拳,kun
跟,ham
枚,mui
闱,ui
疾,tsit
圳,tsun
饮,im
蛸,sau
鸱,tshi
耿,kin
纶,kuan
殃,iong
蛇,liu
串,pha
伤,siong
瓣,pan
双,siang
拇,bu
撅,tu
隙,khong
痺,pi
饶,jiau
树,tshiu
占,tsiam
芡,khiam
梅,mui
熔,iunn
咽,ian
臂,pi
饲,tshi
襞,phe
涛,too
毡,tsinn
椤,pih
癸,kui
边,pian
边,pinn
旛,huan
啼,thi
蝴,hoo
乐,lok
泅,siu
仅,tsi
燄,iam
箔,poh
烤,phu
吠,pui
赦,sia
吸,soh
摔,sut
返,huan
颂,siong
舞,pinn
摧,tshui
桑,sng
欺,khi
圣,sing
蓝,na
颅,lu
界,kai
揪,khiu
𫘤,ngai
木,bok
朵,lui
薯,tsu
咎,kiu
近,kun
卸,lau
蟋,sih
即,tsik
壹,io
裾,ku
轮,lian
舔,tsinn
育,io
杂,hue
琴,khim
歆,him
我,gua
磨,lui
障,tsiang
崇,tsong
窄,eh
朴,phok
钻,lian
糊,koo
磬,khing
犹,iau
瞄,gan
颊,phue
檬,bong
荤,tsho
耳,hinn
耳,hi
耳,ni
咱,lan
照,tsio
影,iann
奖,tsiunn
敢,kam
敢,kann
鄙,phi
挟,kann
笑,tshio
邀,tsio
羞,tshiu
荷,ha
低,ke
悯,bin
许,hu
补,thiam
埋,bai
堂,tng
堂,tong
挤,tsinn
捩,leh
故,koo
管,tshah
狸,li
枣,tso
梿,lian
成,siann
卦,kua
领,tshua
品,phin
雄,kong
么,ban
鰗,hoo
砻,lang
猎,liap
鲑,kue
某,boo
棉,bian
那,na
那,hit
沾,ni
肉,bah
蛙,ua
操,tsho
招,tsiau
腌,am
访,hong
果,ko
甩,puann
姚,iau
岸,gan
苔,thai
洁,kiat
庵,am
糖,thng
襻,phan
扔,phiann
雇,koo
幅,hok
褪,thng
嫌,hiam
瑚,oo
怜,lian
算,suan
匠,tshiunn
鳗,mua
卵,luan
精,tsing
既,ki
息,sik
瓜,kue
蜢,me
师,tshiunn
斤,kin
班,pang
池,ti
揪,tshuah
枞,a
篡,tshuan
烘,hong
嘉,ka
棵,tsang
篇,phian
豫,u
壶,hoo
舅,kiu
帛,peh
湾,uainn
娱,ngoo
腌,sinn
屑,sut
读,thak
厌,iam
蛲,gio
伊,i
刨,khau
蹍,thun
汲,hoo
捆,tsang
黄,ng
课,khe
稗,phue
岁,sue
岁,hue
伯,peh
余,i
蓑,sui
撤,thiat
瞑,bin
锉,lue
睹,too
吸,suh
更,kinn
更,kenn
若,na
拍,phah
猩,sing
罕,han
摔,phiann
料,liau
腰,io
擅,sian
八,pueh
派,phai
潘,phuann
稀,tsui
粿,ke
坊,hng
尸,si
怒,noo
尽,tsin
椎,tsui
共,ka
共,kang
繁,huan
芬,hun
痒,tsiunn
杖,thng
夹,giap
缘,ian
攀,phan
禄,lok
仕,su
竟,suah
疾,tsik
胆,tann
赋,hu
擗,phiak
撢,tshing
管,tshap
炒,tsha
堵,that
浦,phoo
歙,hmh
匠,su
佚,thit
蔽,pe
序,su
岭,nia
拟,gi
崩,ping
芍,tsiok
噪,so
柴,tsha
累,thiam
第,te
薐,ling
纸,tsua
姓,sinn
兴,hing
涧,kan
协,hah
灾,tse
懑,pi
彰,tsiong
楼,lau
昼,tiu
久,ku
掉,khi
搬,puan
辈,pue
狮,sai
屁,phui
蟮,sian
呼,hoo
肿,hang
铜,tang
棋,ki
偕,kai
罚,huat
章,tsiong
净,tsing
敷,hu
扳,pian
捏,liam
练,lian
轻,khiann
叽,ki
坏,hai
呀,ia
语,gi
倏,sua
业,kiann
哗,hua
脂,tsi
晃,hong
幔,mua
隘,ai
穷,king
穷,kiong
晒,na
聚,tsu
谍,tiap
熟,siok
驱,khu
画,ui
缝,pang
雠,siu
揍,bok
余,û
否,phainn
度,too
或,hik
偶,ngoo
赃,tsong
榻,thap
枯,khoo
挤,kheh
圈,khua
膏,ko
横,hing
䈄,ham
盘,puann
荚,tsu
啬,siah
朱,tsu
哎,eh
捞,hoo
段,tuan
雇,tshiann
瘰,lui
次,tshu
型,hing
宿,sik
佯,tenn
叡,lue
精,tsiann
鲈,loo
卖,be
野,ia
房,pang
战,tsian
颟,ban
坞,u
呈,tiann
摊,tann
娲,o
簸,puann
倦,kuan
贴,koo
骗,phian
褙,pe
炉,loo
染,jiam
坟,hun
土,thoo
拐,sut
婶,sim
格,kik
版,pan
雨,u
房,pong
荐,tsi
住,tsu
深,tshim
疥,kue
标,pio
谅,liong
翎,ling
熨,ut
舞,bu
苑,uan
醮,tsio
膀,phong
立,lip
侬,lang
茂,ong
善,sian
临,lim
腻,ji
塘,tng
杀,sat
勾,kau
獭,thuah
扁,pinn
毯,than
擤,tshng
采,tshai
娆,hiau
估,liah
硩,teh
丘,khiu
牵,khian
偷,thau
苗,tsai
凰,hong
拐,kuai
客,khik
闰,jun
煤,mui
星,sing
星,tshinn
药,ioh
悲,pi
倚,ua
笆,pa
沬,bi
晕,hng
冒,poh
盈,ing
暑,su
判,phuann
淋,lam
给,ka
穹,kiong
航,hang
缉,tship
便,pian
街,kue
辞,si
跑,tsau
萧,sio
冈,kong
癣,sian
喘,tshuan
态,thai
吐,thoo
姜,khiong
颧,kuan
再,tsai
虹,khing
赃,tsng
额,hiah
伪,gui
轰,ing
惨,tsham
骰,tau
彭,phinn
埕,tiann
象,tshiunn
吉,kiat
趟,sun
丸,inn
符,kah
蜂,phang
尝,siong
杷,pe
谝,pian
改,pian
触,tshik
交,ka
虑,li
黜,lut
诓,siat
胞,pau
童,tang
给,kip
调,tiau
帮,pang
剥,pok
引,in
瑜,u
箱,siong
菌,khun
盒,ah
对,tui
恒,hing
骑,khi
补,thinn
一,it
裔,e
桑,song
嗲,teh
赖,nua
贼,tshat
骆,lok
猜,tshai
荆,king
姿,tsu
芽,ga
在,tsai
长,tiunn
踩,tshok
较,ka
桌,toh
遮,tsiah
亭,ting
扫,tshing
正,tsing
鹅,go
敦,tun
蔓,mua
疆,kiunn
青,tshenn
兔,thoo
竿,kuann
完,khi
辰,sin
鳔,pio
垫,tsu
闵,bin
阻,tsoo
卒,tsut
炸,tsuann
润,lun
迌,tho
砖,tsuan
腊,liap
暂,tsiam
亭,tan
痣,ki
膜,mooh
桨,tsiunn
宵,siau
力,lat
裤,khoo
咐,hu
痘,tsu
但,tan
韵,un
活,uah
剿,tshau
片,phinn
烰,pu
忝,thiam
呵,ho
铅,ian
犬,kau
怐,khoo
冬,tang
椰,ia
哢,long
似,su
似,siann
宫,king
捷,tsiap
瓢,khat
拍,tah
婴,inn
萝,lo
蒸,tshue
两,liong
两,niu
窕,thiau
刨,tshuah
丢,phiann
洋,iunn
当,tng
虾,he
著,toh
轿,kiau
爽,sng
搧,kuat
喋,thih
须,su
颈,kun
毛,moo
饵,li
瑯,long
钩,kau
作,tsoh
座,tso
提,the
盼,phan
魍,bang
蔷,tshiunn
权,khuan
幅,pak
哖,ni
黔,kham
彩,tshai
建,kian
窍,khiau
幽,iu
罗,lo
爁,na
厅,thing
货,hue
惯,kuan
薇,bi
晒,phak
信,sin
信,phue
章,tsiunn
喧,suan
跋,puah
咿,i
剁,tainn
危,gui
域,ik
搜,tshiau
田,tian
且,tshiann
锈,siu
终,tsiong
咬,tho
他,i
谷,kok
捩,tsun
碱,kinn
蜜,bit
慢,ban
旦,tan
圜,huan
闰,lun
𣛮,siann
溅,tsuann
愚,gu
缔,te
贿,he
胎,thai
胎,the
泡,phau
勿,but
挫,tsho
闲,han
愕,giah
娇,kiau
选,suan
璃,li
带,tua
带,tai
寡,kua
咀,tsua
髻,kue
币,pe
霆,ting
发,huat
掴,kuat
芳,phang
疫,ik
窒,kik
施,si
孵,pu
瘾,in
日,lit
偿,siong
嘈,tshauh
煎,tsuann
女,li
听,thiann
瑰,kui
婆,po
修,sau
积,tsik
鳜,kue
芒,mi
淇,ki
雾,bu
铛,tang
髓,tshue
节,tseh
嗝,keh
鲷,puann
缀,te
街,ke
摄,liap
膏,koo
末,buah
磨,e
筒,tang
遵,tsun
烛,tsik
谢,sia
驿,ik
隔,keh
层,tsan
粑,phi
艘,tsiah
甥,sing
脉,meh
铀,iu
哄,kang
郞,long
劫,kiap
林,lim
噭,kiau
煮,tsi
阑,lan
加,ka
榄,na
缸,kong
嘤,inn
你,li
燄,me
滴,tih
恼,lo
鮡,thiau
嗍,suh
䌸,pak
录,lok
乳,lin
峡,kiap
锻,tuan
殁,bok
琶,pe
妆,tsng
唉,haih
涂,too
跳,liong
鸿,hong
玄,hian
毒,thau
主,tsu
买,bue
苒,jiam
标,phiau
娃,ua
手,tshiu
徐,tshi
实,tsat
换,the
级,tsan
岗,kong
领,nia
坪,penn
痘,too
啰,lo
林,na
唯,ui
羌,khiang
鹙,tshiu
鉎,sian
槐,huai
况,hong
耐,lun
脱,thng
干,ta
葱,tshang
实,sit
具,ku
掩,ng
愤,hun
迹,jiah
络,loh
锈,sian
蜊,la
鹅,gia
狎,ap
距,ku
税,sue
久,kiu
蝛,bui
俘,hu
丛,boo
拖,thuah
训,hun
伙,hue
员,uan
区,khu
拱,kiong
琼,khiong
蘸,un
包,pau
抢,tshiunn
稽,khe
骗,hoo
囊,long
炖,hong
鹑,tun
寺,si
峰,hong
垂,tih
蹲,khu
芋,oo
檀,tan
磁,tsu
绊,ke
蠕,lu
族,tsok
套,loh
栗,lik
喀,khennh
辣,luah
羁,kua
鱙,jiau
狭,eh
疤,phi
言,gian
巧,kha
晶,tsing
拌,puann
惩,ting
凋,ta
削,siah
屉,thuah
旁,ping
亩,boo
纲,kong
琐,so
卌,siap
允,un
辗,lin
惜,sik
啸,siau
偷,iap
程,ting
鼠,tshu
绞,ka
聋,lang
落,loh
陆,liok
颏,hai
始,su
渝,ju
爆,pok
诽,hui
犊,tok
辱,liok
栏,lan
绿,lik
潦,lo
句,ku
央,iong
弄,ka
红,hong
犒,kho
导,to
鬃,tsang
澈,thiat
驳,poh
擦,luah
砚,hinn
喔,ho
腩,lam
盾,tun
骚,sau
缴,lap
般,puann
屏,pin
将,tsiong
傲,ngoo
闩,tshuann
鸰,ling
锯,liau
铺,phoo
孩,hai
垫,tiam
阵,tin
阵,tsun
骨,kut
蛟,kiau
儱,lang
㷮,tsau
惰,tuann
嘈,tshau
座,tse
令,su
嗡,onn
晨,sin
步,poo
窜,tshng
约,tsiann
胰,tshioh
夸,khua
瑟,sik
睫,tsiah
铁,thih
庚,kenn
巴,pa
眩,gong
绛,kong
共,kiong
拎,ni
栅,tsheh
挓,tha
杀,thai
报,po
腹,pak
金,kim
握,neh
龛,kham
签,tshiam
私,sai
竿,ko
健,kiann
作,tsok
驴,li
亿,ik
府,hu
挑,thio
及,kah
没,but
扇,sinn
案,uann
肌,ki
歧,ki
孜,tsu
沐,bok
油,iu
莽,bong
问,mng
宿,siok
毋,m
骾,kenn
毛,mng
育,iok
肝,kan
牯,koo
蜚,pui
抹,kuat
洒,suan
诠,tshuan
办,pan
保,po
统,thang
妳,li
逢,hong
矾,huan
釉,iu
酬,siu
痧,sua
呕,oo
廿,liap
预,i
冇,phann
邢,hing
驶,su
甘,kam
脽,tsui
漂,phiau
乐,gak
民,bin
拗,au
斋,tse
理,li
确,khiak
窜,tshuan
诀,kuat
咸,kiam
辆,tai
运,un
蓄,thiok
赎,siok
碗,uann
坯,phue
笺,tsian
称,tshing
变,pian
仄,tseh
膈,keh
此,tshu
缓,uan
蓉,iong
邀,io
电,tian
钵,khann
拆,pak
拄,tu
潭,tham
埆,kak
糁,sam
挨,bua
戏,tshut
绫,lin
午,ngoo
啜,tsip
魬,puann
文,bun
局,kik
柜,kui
总,tsong
毒,tok
遮,jia
较,kau
澜,lan
砖,tsng
蟹,hai
摩,moo
褙,pue
杆,kuainn
撑,the
营,ing
撮,pha
冯,pang
痲,mua
宛,uan
柠,le
司,sai
攫,khioh
忘,bong
账,siau
沌,tun
褚,thu
远,hng
蛇,tsua
限,han
岑,gim
问,bun
霞,he
榜,png
羡,suan
邬,oo
箱,siunn
执,tsip
冰,ping
卷,ka
玲,lin
贤,hian
拣,king
异,i
椿,khit
奔,phun
篷,pong
郊,kau
躏,lim
𫌀,tsioh
我,guan
倌,kuann
骑,khia
呢,neh
蛲,ngiau
硝,siau
闯,tshuang
沛,phai
搁,khng
搔,jiau
勿,mai
傻,gong
窞,tham
𩾃,bian
鲡,le
舶,pik
瓮,ang
宇,u
极,kai
睨,gioh
脰,tau
𫘤,gai
远,uan
徨,hong
卵,nng
凹,nah
宾,pin
郡,kun
未,bi
未,bue
春,tshun
丧,sng
瓢,hoo
斤,kun
鼾,huann
产,san
讯,sin
蜱,pi
鬓,pin
蠕,lun
裕,lu
瓷,hui
岸,huann
櫼,tsinn
焙,na
贩,phuann
腥,tsho
挃,tih
孀,song
盯,tinn
茸,liong
好,ho
茭,kha
封,pang
峇,ba
窗,tshong
窗,thang
翟,tik
藻,tso
胰,i
刚,tu
荷,ho
鸦,a
掘,kut
诤,tsenn
堞,tiap
练,tshau
雕,tainn
禁,kim
钝,tun
页,iah
悖,pue
漂,phio
甜,tinn
搔,liau
拧,liam
痳,ba
萌,puh
枪,tshiunn
三,sann
鸠,khiu
渔,hi
浸,tsim
吋,tshun
哀,ai
舔,na
桃,tho
仁,jin
妖,iau
交,kau
吓,kiann
捋,luah
㑩,lo
𫚭,lah
舱,tshong
菇,koo
洪,hong
蜡,lap
贡,kong
禾,ho
案,an
猴,kau
超,thiau
拍,jiah
诚,sing
叙,su
践,tsian
呻,tshan
锯,ki
格,keh
滑,tshu
烫,ut
橄,kan
溅,tsuah
队,tui
各,koh
秤,liang
仰,giong
戾,le
卤,khong
这,tsit
荫,im
封,hong
娘,nia
酿,kik
畦,ling
蛀,tsu
慧,hui
谤,pong
雄,hiong
若,ju
寓,gu
庞,pang
乔,kiau
酪,lok
麝,sia
蔬,se
昊,ho
莫,bok
莫,mai
钢,kng
剩,tshun
倍,pue
里,li
弧,oo
节,tsiat
涸,khok
有,u
浦,poo
抓,jiau
敝,pe
就,tsiu
就,to
静,tsenn
恩,un
概,khai
非,hui
苍,tshong
少,siau
桶,thang
瞄,iann
芙,phu
摽,pio
称,liang
道,to
季,kui
杭,hang
俚,li
光,kong
外,gue
㐾,guan
救,kiu
平,penn
椅,i
挖,oo
鸳,uan
遏,at
溪,khue
肿,ham
答,tah
研,ging
熏,hun
震,tsin
皆,kai
扑,hap
萤,ing
漆,tshat
至,tsi
罩,kham
鲦,thiau
苎,te
戊,boo
准,tsiann
锵,tshiong
蚌,pang
胖,phang
殖,sit
殷,un
撑,tshing
侄,tit
氢,khin
绅,sin
安,an
嗲,te
绒,jiong
菁,tshenn
蟒,bong
舌,siat
韦,ui
法,huat
虫,thang
颚,ham
黹,tsi
妹,be
哈,ha
踮,nih
令,ling
蕴,un
仰,iong
体,the
得,tit
磕,khap
弊,pe
厘,li
粮,niu
泪,lui
东,tang
东,tong
爱,ai
烘,hang
愿,guan
茸,jiong
沸,hui
轧,hau
祺,ki
娜,na
瘤,lau
哑,a
媒,mui
武,bu
余,u
盏,liam
氢,khing
疏,soo
磨,bua
参,tsham
婊,ba
腔,khiunn
级,kham
搧,iat
准,tsing
所,soo
略,liak
挡,tsah
哞,ma
污,u
戏,hi
焐,u
吨,tong
性,senn
紨,poo
砺,le
岗,kang
炭,thuann
蜈,ngoo
墩,tun
距,ki
稻,to
角,khiah
呼,khoo
方,hong
础,tshoo
脾,pi
唆,so
彗,hui
苋,hing
猪,ti
院,inn
袱,hok
镣,liau
投,tau
孵,hu
圈,khoo
肥,hui
措,tshoo
拂,tshing
鞠,kiok
诺,lok
饿,iau
互,hoo
馋,sam
敲,kha
极,kik
摸,bong
菠,pe
晚,uann
尿,lio
绵,bian
眨,nih
猖,tshiong
蟧,la
哩,mai
驴,lu
髓,tshe
矽,siak
史,sai
亏,khui
身,sin
砍,phut
壁,tshiunn
搅,kiau
遮,tsia
石,sik
叠,thah
尝,tsng
妙,miau
自,tsu
应,ing
柫,put
索,soh
准,tsun
鸟,tsiau
煽,sian
捎,sa
毫,hoo
芽,inn
弛,si
轨,khui
貌,mau
讨,tho
仵,ngoo
配,phue
配,phe
扼,ik
足,kau
庚,king
卤,loo
箩,lua
税,tsoo
遨,ngoo
发,thoo
舰,lam
撮,tsuat
宴,ian
嗤,tshi
薛,sih
镰,ni
牲,sing
件,kiann
粘,liam
漠,bok
俗,siok
擦,tshit
蚣,kang
鸥,oo
景,king
频,pin
屯,tun
歹,phainn
何,ho
娥,ngoo
瘦,san
基,ki
斩,tsam
差,tsha
矩,ku
爷,ia
沪,hoo
帝,te
寄,kia
珠,tsu
究,kiu
迁,sua
鲔,ian
仪,gi
串,kng
闲,ing
咚,tom
潘,phun
嘘,si
珍,tin
祀,tshai
弄,tshong
昏,hun
免,bian
稀,hi
鞭,pian
绝,tseh
绳,tsin
静,tsing
星,tshenn
献,tik
鞄,phauh
甩,hiu
无,bu
乜,mih
枫,png
脯,poo
捶,tui
藤,tin
藩,huan
暗,am
箨,hah
负,phainn
加,ke
芦,loo
妄,bong
笑,siau
蔬,sue
马,be
纹,bun
关,kuinn
替,thue
琛,thim
以,i
葡,phu
鞭,pinn
梭,so
线,suann
讴,oo
功,kong
芟,san
手,siu
逼,pik
牧,bok
境,king
九,kau
九,kiu
醒,tshenn
锛,pun
赛,sai
付,hu
优,iu
厨,tu
赴,hu
跺,lam
揭,iah
郎,long
殿,tian
按,an
馒,ban
合,hap
啖,tam
董,tong
亮,kng
隍,hong
岛,too
厄,eh
炳,ping
瘼,mooh
挣,tsiann
钦,khim
贯,kuan
肘,tiu
𦟪,lian
瞥,gio
往,ong
臆,ik
隧,sui
赔,pe
肩,king
均,kun
延,tshian
蛤,gio
届,kai
追,jiok
烙,lo
戥,ting
条,sun
隙,khang
光,kng
扔,khian
驰,ti
呛,tsak
黐,thi
黎,le
总,long
摹,boo
叔,siok
哲,tiat
希,hi
绉,tso
磅,tshin
拳,kuan
滚,kun
柯,kho
蛤,ham
札,khit
毕,liau
舐,tsi
茉,bak
焚,hun
菁,tshinn
董,tang
厉,li
这,tse
喊,han
喊,hiam
喑,inn
惜,sioh
烂,au
牡,boo
遨,go
毣,bak
垵,uann
材,tsiah
控,khang
斜,tshia
甲,kah
昌,tshiong
浊,tsok
倾,phe
跳,thiau
俭,khiu
犹,iu
懂,bat
蟒,bang
村,tshuan
鼓,koo
疲,phi
叛,puan
瑶,io
熔,iong
砸,ham
兄,hiann
帐,tiong
溺,lik
纷,hun
阳,iunn
同,tong
咒,tsiu
俐,li
奖,tsiong
腮,sai
导,tshua
屎,su
赤,tshiah
晴,tsinn
掉,loh
舱,tshng
顷,khing
强,kiong
戳,thuh
亮,kim
沟,kau
歃,sap
岌,gip
啄,lo
萧,siau
另,ling
假,ke
纲,kang
𣐕,kinn
函,ham
条,tiau
绒,liong
踩,tah
缺,khuat
入,jip
过,ke
过,ko
彭,phenn
倍,pe
申,sin
坑,khinn
苛,kho
酿,nng
代,tai
汁,tsiap
煦,u
操,tshau
魅,bi
讼,siong
芋,u
侍,sai
惟,ui
糠,khong
弟,te
麂,ki
驳,pok
藉,tsioh
则,tsik
梦,bong
楣,bai
虽,sui
脚,kioh
伏,hok
秦,tsin
果,kue
狭,ueh
恒,an
硬,ting
袍,poo
德,tik
𩸶,gam
斗,tak
绕,in
益,ik
侠,kiap
磊,lui
堪,kham
饱,pau
范,pan
检,kiam
瞎,khueh
錔,thap
枷,ke
淘,to
郭,kueh
刑,hing
摇,io
儳,sam
妍,gian
镀,too
绘,hue
胿,kuai
佑,iu
秘,pi
险,hiam
芯,sim
仗,tiong
泊,pok
芽,ge
夏,he
觑,tshu
脾,phi
泊,poh
糜,muai
熬,go
菱,ling
惘,bong
流,liu
被,pi
病,pinn
蔬,soo
动,tang
动,tong
头,thau
过,kue
瞌,khap
廷,ting
畜,thik
叭,pa
择,tik
脊,tsit
越,uat
览,lam
昳,thih
蹴,tsam
粩,lau
奢,tshi
丝,si
蛋,tuann
销,siau
舰,kam
赐,su
